,name,trailingPE,forwardPE,bookValue,marketCap,sharesOut,lasrPrice
RRRP3.SA,3R PETROLEUMON      NM,3.3208447,3.3208447,18.762,9989850112.0,202592992.0,48.75
ALPA4.SA,ALPARGATAS  PN      N1,21.684944,16.73077,8.019,13791958016.0,334571008.0,21.75
ABEV3.SA,AMBEV S/A   ON,16.713781,16.5,5.013,223340658688.0,15738900480.0,14.19
AMER3.SA,AMERICANAS  ON      NM,29.515419,19.705883,17.033,18121437184.0,901564032.0,20.1
ASAI3.SA,ASSAI       ON      NM,13.584906,12.571429,2.215,21328560128.0,1346499968.0,15.84
AZUL4.SA,AZUL        PN      N2,5.618888,-12.18788,-44.992,6990135808.0,335208000.0,20.11
B3SA3.SA,B3          ON      NM,17.003996,14.348315,3.63,77552975872.0,6073059840.0,12.77
BIDI11.SA,BANCO INTER UNT     N2,484.23077,19.671875,3.212,,,12.59
BPAN4.SA,BANCO PAN   PN      N1,13.366834,10.64,5.873,10424513536.0,648771968.0,7.98
BBSE3.SA,BBSEGURIDADEON      NM,12.979236,9.431579,4.23,53671026688.0,1996690048.0,26.88
BRML3.SA,BR MALLS PARON      NM,35.355648,12.42647,13.093,6998915072.0,828273984.0,8.45
BBDC3.SA,BRADESCO    ON      N1,7.4922323,,14.176,199901380608.0,5338390016.0,16.88
BBDC4.SA,BRADESCO    PN      N1,9.098979,6.9491525,14.176,198576930816.0,5320090112.0,20.5
BRAP4.SA,BRADESPAR   PN      N1,1.3905513,5.528046,19.086,10908357632.0,255107008.0,28.58
BBAS3.SA,BRASIL      ON  EDJ NM,5.108104,4.0464087,51.972,104491507712.0,2853400064.0,36.62
BRKM5.SA,BRASKEM     PNA     N1,2.306775,6.8251534,14.57,35228336128.0,345060000.0,44.5
BRFS3.SA,BRF SA      ON      NM,10.868054,10.868054,11.53,16861623296.0,1077420032.0,15.65
BPAC11.SA,BTGP BANCO  UNT     N2,41.270355,11.162995,3.416,85384650752.0,3369560064.0,25.34
CRFB3.SA,CARREFOUR BRON      NM,14.827587,13.626761,8.784,40694018048.0,2103049984.0,19.35
CCRO3.SA,CCR SA      ON      NM,38.779068,18.788733,4.091,26946799616.0,2020000000.0,13.34
CMIG4.SA,CEMIG       PN      N1,5.3587856,6.695402,9.392,28259053568.0,1464870016.0,11.65
CIEL3.SA,CIELO       ON      NM,11.651918,10.394737,3.828,10672347136.0,2701860096.0,3.95
COGN3.SA,COGNA ON    ON      NM,-33.125004,-33.125004,6.792,4965437952.0,1873750016.0,2.65
CPLE6.SA,COPEL       PNB     N2,4.1756372,7.5204077,8.223,19716296704.0,1679340032.0,7.37
CSAN3.SA,COSAN       ON      NM,6.7573485,13.852565,8.374,40380878848.0,1868620032.0,21.61
CPFE3.SA,CPFL ENERGIAON      NM,7.9182334,8.915344,14.098,38830825472.0,1152249984.0,33.7
CMIN3.SA,CSNMINERACAOON      N2,5.655738,6.44,2.687,26496606208.0,5485839872.0,4.83
CVCB3.SA,CVC BRASIL  ON      NM,21.411766,21.411766,0.901,2456192000.0,224926000.0,10.92
CYRE3.SA,CYRELA REALTON      NM,5.9373636,5.6404953,16.533,5248465920.0,384503008.0,13.65
DXCO3.SA,DEXCO       ON      NM,4.372075,8.123188,7.494,8457653248.0,754473984.0,11.21
ECOR3.SA,ECORODOVIAS ON      NM,16.341463,16.377777,3.071,5126726656.0,695620992.0,7.37
ELET3.SA,ELETROBRAS  ON      N1,9.790893,6.7967744,50.236,65909067776.0,1288839936.0,42.14
ELET6.SA,ELETROBRAS  PNB     N1,9.672399,7.2526135,50.236,66231250944.0,279940992.0,41.63
EMBR3.SA,EMBRAER     ON      NM,15.924999,15.924999,20.265,9358867456.0,734604992.0,12.74
ENBR3.SA,ENERGIAS BR ON      NM,5.7059293,7.803636,20.205,12272865280.0,571894976.0,21.46
ENGI11.SA,ENERGISA    UNT     N2,32.188404,8.608527,4.925,12109957120.0,0.0,44.42
ENEV3.SA,ENEVA       ON      NM,16.934782,24.34375,7.142,19959537664.0,1281100032.0,15.58
EGIE3.SA,ENGIE BRASILON      NM,21.32103,10.045767,10.245,35819241472.0,815928000.0,43.9
EQTL3.SA,EQUATORIAL  ON      NM,5.986909,9.786008,18.356,26159427584.0,1100060032.0,23.78
EZTC3.SA,EZTEC       ON  ED  NM,8.540683,5.2653723,19.298,3595491072.0,220988992.0,16.27
FLRY3.SA,FLEURY      ON      NM,14.081634,13.675675,5.5,4811589632.0,316968992.0,15.18
GGBR4.SA,GERDAU      PN      N1,3.130836,7.403553,24.785,46238240768.0,1135900032.0,29.17
GOAU4.SA,GERDAU MET  PN      N1,2.5191152,2.9444444,13.553,12745253888.0,715873984.0,12.19
GOLL4.SA,GOL         PN      N2,7.9289618,7.9289618,-45.888,46437076992.0,336668000.0,14.51
NTCO3.SA,GRUPO NATURAON      NM,41.07232,17.709677,17.391,22663542784.0,1376050048.0,16.47
SOMA3.SA,GRUPO SOMA  ON      NM,18.290323,14.727273,9.106,8899031040.0,784747008.0,11.34
HAPV3.SA,HAPVIDA     ON      NM,181.62161,17.68421,6.906,47841026048.0,7119200256.0,6.72
HYPE3.SA,HYPERA      ON      NM,18.04186,12.676471,15.662,24500539392.0,631619968.0,38.79
IGTI11.SA,IGUATEMI S.AUNT     N1,121.71779,,2.913,,,19.84
IRBR3.SA,IRBBRASIL REON      NM,7.170732,7.170732,2.942,3690552576.0,1255289984.0,2.94
ITSA4.SA,ITAUSA      PN      N1,6.171171,6.3509936,7.283,85350432768.0,5788630016.0,9.59
ITUB4.SA,ITAUUNIBANCOPN      N1,9.283179,7.5826087,15.598,237226196992.0,4821600256.0,26.16
JBSS3.SA,JBS         ON      NM,3.6397095,7.7559905,19.238,78965063680.0,2218119936.0,35.6
JHSF3.SA,JHSF PART   ON      NM,4.8654246,6.46789,6.553,4765263872.0,675923968.0,7.05
KLBN11.SA,KLABIN S/A  UNT     N2,33.797276,11.882978,1.569,115257196544.0,1098439936.0,22.34
RENT3.SA,LOCALIZA    ON      NM,20.969742,19.367002,10.684,43266023424.0,752190976.0,57.52
LCAM3.SA,LOCAMERICA  ON      NM,13.1907215,11.273128,10.009,12967399424.0,506736992.0,25.59
LWSA3.SA,LOCAWEB     ON      NM,27.541668,27.541668,5.007,3883368448.0,587499008.0,6.61
LREN3.SA,LOJAS RENNERON      NM,26.841574,16.31902,9.811,26108884992.0,981012992.0,26.6
MGLU3.SA,MAGAZ LUIZA ON      NM,148.8,62.0,1.668,24795957248.0,6665580032.0,3.72
MRFG3.SA,MARFRIG     ON      NM,2.5324044,3.686321,5.088,10377928704.0,663974976.0,15.63
CASH3.SA,MELIUZ      ON      NM,38.0,38.0,0.855,1522642816.0,801390976.0,1.9
BEEF3.SA,MINERVA     ON      NM,18.735178,8.832298,0.831,8590771200.0,604132992.0,14.22
MRVE3.SA,MRV         ON      NM,6.330275,6.192308,12.462,4697010688.0,483231008.0,9.66
MULT3.SA,MULTIPLAN   ON      N2,24.9121,17.583942,11.023,14164993024.0,552428032.0,24.09
PCAR3.SA,P.ACUCAR-CBDON      NM,2.608976,10.4278345,53.05,5447837696.0,269295008.0,20.23
PETR3.SA,PETROBRAS   ON  EDJ N2,2.891168,3.5534186,33.286,416814301184.0,7442449920.0,33.26
PETR4.SA,PETROBRAS   PN  EDJ N2,2.6130042,3.194474,33.286,414647615488.0,5602039808.0,30.06
PRIO3.SA,PETRORIO    ON      NM,9.655054,12.44,7.97,23608864768.0,843475008.0,27.99
PETZ3.SA,PETZ        ON      NM,72.202385,26.955557,3.846,5592876544.0,459940000.0,12.13
POSI3.SA,POSITIVO TECON      NM,6.27615,6.6371684,7.878,1065247424.0,139796000.0,7.5
QUAL3.SA,QUALICORP   ON      NM,9.53271,8.130435,4.835,3116399872.0,277753984.0,11.22
RADL3.SA,RAIADROGASILON      NM,47.580647,27.171053,2.884,34026037248.0,1647750016.0,20.65
RDOR3.SA,REDE D OR   ON      NM,44.94354,23.411764,6.89,70710468608.0,1974050048.0,35.82
RAIL3.SA,RUMO S.A.   ON      NM,22.379747,22.379747,7.941,32740532224.0,1851840000.0,17.68
SBSP3.SA,SABESP      ON      NM,11.237113,9.011811,37.903,31657922560.0,683510016.0,45.78
SANB11.SA,SANTANDER BRUNT,16.397848,6.8891172,14.193,146022334464.0,3733440000.0,33.55
CSNA3.SA,SID NACIONALON,3.62129,4.9300227,16.491,29303384064.0,1341730048.0,21.84
SLCE3.SA,SLC AGRICOLAON      NM,10.805752,10.176252,16.962,11420701696.0,208216992.0,54.85
SULA11.SA,SUL AMERICA UNT     N2,35.1706,8.220859,20.358,11412511744.0,425840000.0,26.8
SUZB3.SA,SUZANO S.A. ON      NM,3.3291848,14.657534,18.737,72190222336.0,1349350016.0,53.5
TAEE11.SA,TAESA       UNT     N2,6.2721343,10.380463,21.03,41732730880.0,1033500032.0,40.38
VIVT3.SA,TELEF BRASILON,13.771243,16.521036,41.699,86412845056.0,1676940032.0,51.05
TIMS3.SA,TIM         ON      NM,11.294118,12.521739,10.467,34853904384.0,2420410112.0,14.4
TOTS3.SA,TOTVS       ON      NM,46.20521,23.06504,7.085,17251174400.0,608078016.0,28.37
UGPA3.SA,ULTRAPAR    ON  EJ  NM,13.4803,13.183486,9.664,15643899904.0,1088649984.0,14.37
USIM5.SA,USIMINAS    PNA     N1,1.4459103,4.332016,18.632,11345244160.0,528142016.0,10.96
VALE3.SA,VALE        ON      NM,3.7399678,5.8846416,37.616,408666439680.0,4740360192.0,86.21
VIIA3.SA,VIA         ON      NM,-13.652174,-13.652174,3.547,5012790272.0,1596429952.0,3.14
VBBR3.SA,VIBRA       ON      NM,9.562223,9.969231,11.175,21920739328.0,1127609984.0,19.44
WEGE3.SA,WEG         ON      NM,28.283167,23.71028,2.959,106459627520.0,4196280064.0,25.37
YDUQ3.SA,YDUQS PART  ON      NM,25.601265,7.892683,10.855,4854113280.0,300007008.0,16.18
